ticker,bar_start_utc,observed_at_utc,open,high,low,close,volume
1617.T,2026-09-18T00:00:00+00:00,2026-09-18T12:19:55.028899+00:00,48170.0,48170.0,48170.0,48170.0,0
1617.T,2026-09-18T00:05:00+00:00,2026-09-18T12:19:55.028899+00:00,47660.0,47660.0,47500.0,47500.0,90
1617.T,2026-09-18T00:10:00+00:00,2026-09-18T12:19:55.028899+00:00,47480.0,47480.0,47480.0,47480.0,2
1617.T,2026-09-18T00:20:00+00:00,2026-09-18T12:19:55.028899+00:00,47530.0,47530.0,47530.0,47530.0,2
1617.T,2026-09-18T00:30:00+00:00,2026-09-18T12:19:55.028899+00:00,47560.0,47560.0,47410.0,47410.0,13
1618.T,2026-09-18T00:00:00+00:00,2026-09-18T12:19:55.028899+00:00,37750.0,37750.0,37750.0,37750.0,0
1618.T,2026-09-18T00:05:00+00:00,2026-09-18T12:19:55.028899+00:00,37530.0,37570.0,37520.0,37570.0,839
1618.T,2026-09-18T00:10:00+00:00,2026-09-18T12:19:55.028899+00:00,37530.0,37570.0,37530.0,37570.0,14
1618.T,2026-09-18T00:15:00+00:00,2026-09-18T12:19:55.028899+00:00,37600.0,37600.0,37600.0,37600.0,47
1618.T,2026-09-18T00:25:00+00:00,2026-09-18T12:19:55.028899+00:00,37600.0,37600.0,37600.0,37600.0,14
1618.T,2026-09-18T00:30:00+00:00,2026-09-18T12:19:55.028899+00:00,37600.0,37600.0,37600.0,37600.0,25
1619.T,2026-09-18T00:00:00+00:00,2026-09-18T12:19:55.028899+00:00,44830.0,44830.0,44830.0,44830.0,0
1619.T,2026-09-18T00:05:00+00:00,2026-09-18T12:19:55.028899+00:00,44900.0,44900.0,44880.0,44880.0,72
1619.T,2026-09-18T00:10:00+00:00,2026-09-18T12:19:55.028899+00:00,44880.0,44880.0,44880.0,44880.0,8
1619.T,2026-09-18T00:15:00+00:00,2026-09-18T12:19:55.028899+00:00,44880.0,44880.0,44880.0,44880.0,5
1620.T,2026-09-18T00:00:00+00:00,2026-09-18T12:19:55.028899+00:00,36300.0,36490.0,36300.0,36490.0,0
1620.T,2026-09-18T00:15:00+00:00,2026-09-18T12:19:55.028899+00:00,36340.0,36340.0,36340.0,36340.0,1
1620.T,2026-09-18T00:25:00+00:00,2026-09-18T12:19:55.028899+00:00,36340.0,36340.0,36340.0,36340.0,3
1620.T,2026-09-18T00:30:00+00:00,2026-09-18T12:19:55.028899+00:00,36270.0,36270.0,36270.0,36270.0,2
1621.T,2026-09-18T00:00:00+00:00,2026-09-18T12:19:55.028899+00:00,30550.0,30550.0,30550.0,30550.0,0
1621.T,2026-09-18T00:05:00+00:00,2026-09-18T12:19:55.028899+00:00,30510.0,30510.0,30510.0,30510.0,49
1621.T,2026-09-18T00:10:00+00:00,2026-09-18T12:19:55.028899+00:00,30510.0,30510.0,30510.0,30510.0,3
1621.T,2026-09-18T00:15:00+00:00,2026-09-18T12:19:55.028899+00:00,30510.0,30510.0,30510.0,30510.0,10
1621.T,2026-09-18T00:20:00+00:00,2026-09-18T12:19:55.028899+00:00,30610.0,30650.0,30610.0,30650.0,8
1621.T,2026-09-18T00:25:00+00:00,2026-09-18T12:19:55.028899+00:00,30700.0,30700.0,30690.0,30690.0,4
1621.T,2026-09-18T00:30:00+00:00,2026-09-18T12:19:55.028899+00:00,30650.0,30650.0,30650.0,30650.0,11
