ticker,sector,signal,position
1630.T,小売,0.017578265629894528,neutral
1617.T,食品,0.016991252139145954,neutral
1621.T,医薬品,0.01664968461584649,neutral
1627.T,電力・ガス,0.01366831224670237,neutral
1628.T,運輸・物流,0.004666151598469092,neutral
1633.T,不動産,0.002725899137311435,neutral
1622.T,自動車・輸送機,0.0021239960317757864,neutral
1632.T,金融（除く銀行）,0.0010665834307080537,neutral
1626.T,情報通信・サービスその他,0.0006292368927653808,neutral
1619.T,建設・資材,-2.2634327964177192e-05,neutral
1620.T,素材・化学,-0.001103317907387165,neutral
1624.T,機械,-0.0016443981218610092,neutral
1623.T,鉄鋼・非鉄,-0.0019165110843426328,neutral
1618.T,エネルギー資源,-0.01196915026274192,neutral
1629.T,商社・卸売,-0.012286522926014225,neutral
1631.T,銀行,-0.01249227540827183,neutral
1625.T,電機・精密,-0.014456431195579968,neutral
